_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
318230,318230,Convoy,Convoy Games,Indietopia Games,,1325,1053,272,0,"200,000 .. 500,000",191,0,285,0,1499,"14,99",1499,0,3,,
318600,318600,The Flame in the Flood,The Molasses Flood,"The Molasses Flood, Curve Games",,6622,5023,1599,0,"200,000 .. 500,000",163,143,83,143,1499,"14,99",1499,0,19,,
320040,320040,Moon Hunters,Kitfox Games,Kitfox Games,,4233,3355,878,0,"200,000 .. 500,000",244,0,240,0,1499,"14,99",1499,0,25,,
321830,321830,Cavern Kings,VINE,VINE,,220,152,68,0,"20,000 .. 50,000",183,0,183,0,499,"4,99",499,0,1,,
322110,322110,20XX,"Batterystaple Games, Fire Hose Games",Batterystaple Games,,3987,3683,304,0,"200,000 .. 500,000",145,0,152,0,1499,"14,99",1499,0,18,,
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,336305,323343,12962,0,"10,000,000 .. 20,000,000",1952,253,577,257,1499,"14,99",1499,0,27372,,
323060,323060,Tharsis,Choice Provisions,Choice Provisions,,2344,1654,690,0,"500,000 .. 1,000,000",157,0,180,0,1499,"14,99",1499,0,4,,
323220,323220,Vagante,Nuke Nine,Nuke Nine,,3802,3418,384,0,"200,000 .. 500,000",221,0,129,0,1499,"14,99",1499,0,70,,
325090,325090,Deep Dungeons of Doom,Bossa Studios,Bossa Studios,,682,536,146,0,"200,000 .. 500,000",200,0,215,0,499,"4,99",499,0,1,,
325370,325370,Nova-111,Funktronic Labs,Funktronic Labs,,165,129,36,0,"20,000 .. 50,000",207,0,249,0,499,"4,99",499,0,0,,
326150,326150,Death Skid Marks,Studio Whisky Tango Inc.,Studio Whisky Tango Inc.,,627,582,45,0,"20,000 .. 50,000",180,0,180,0,999,"9,99",999,0,1,,
