_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
1017180,1017180,The Long Drive,Genesz,Genesz,11302,10353,949,0,"200,000 .. 500,000",555,73,347,146,1199,1199,0,548,,,
1262560,1262560,Need for Speed Most Wanted,Criterion Games,Electronic Arts,11275,8842,2433,0,"500,000 .. 1,000,000",337,0,271,0,1999,1999,0,200,,,
71250,71250,Sonic Adventure DX,SEGA,SEGA,10706,9610,1096,0,"500,000 .. 1,000,000",286,25,173,25,799,799,0,115,,,
12900,12900,AudioSurf,Dylan Fitterer,"Codemasters, Electronic Arts",10501,10060,441,0,"1,000,000 .. 2,000,000",306,22,141,33,999,999,0,21,,,
12220,12220,Grand Theft Auto: Episodes from Liberty City,Rockstar North / Toronto,Rockstar Games,10430,7699,2731,0,"2,000,000 .. 5,000,000",0,0,0,0,0,0,0,0,,,
300380,300380,Road Redemption,"EQ-Games , Pixel Dash Studios",Tripwire Presents,10352,8468,1884,0,"500,000 .. 1,000,000",200,0,85,0,599,1999,70,61,,,
1262580,1262580,Need for Speed Payback,Ghost Games,Electronic Arts,10254,8931,1323,0,"500,000 .. 1,000,000",903,0,1117,0,2999,2999,0,292,,,
732430,732430,Superflight,GrizzlyGames,GrizzlyGames,9925,9581,344,0,"200,000 .. 500,000",128,0,69,0,299,299,0,20,,,
1085510,1085510,Garfield Kart - Furious Racing,Artefacts Studio,Microids,9678,8550,1128,0,"200,000 .. 500,000",158,0,188,0,1499,1499,0,63,,,
359050,359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,marbenx,marbenx,9557,9098,459,0,"200,000 .. 500,000",86,0,56,0,99,99,0,14,,,
397340,397340,SimplePlanes,"Jundroo, LLC","Jundroo, LLC",8686,8060,626,0,"500,000 .. 1,000,000",1455,9,540,9,1299,1299,0,187,,,
96100,96100,Defy Gravity Extended,Paul Fisch,Fish Factory Games,8625,7421,1204,0,"1,000,000 .. 2,000,000",148,0,129,0,113,199,43,7,,,
286570,286570,F1 2015,"Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",8445,5312,3133,0,"2,000,000 .. 5,000,000",386,0,384,0,0,0,0,76,,,
255220,255220,GRID Autosport,"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",8420,6542,1878,0,"500,000 .. 1,000,000",926,1,391,1,0,0,0,24,,,
412220,412220,DDraceNetwork,DDNet Team,DDNet Team,8360,7881,479,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,1562,,,
446020,446020,Jalopy,Minskworks,Excalibur Games,8105,6239,1866,0,"200,000 .. 500,000",540,25,305,25,1499,1499,0,53,,,
293760,293760,Automation - The Car Company Tycoon Game,Camshaft Software Ltd,Camshaft Software Ltd,8059,7452,607,0,"200,000 .. 500,000",2070,42,1060,42,2999,2999,0,396,,,
