_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu
1544480,1544480,Book of the Old,MingCang Studio,MingCang Studio,,9,9,0,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,1
1547060,1547060,回纹集换卡牌TCG,都要恰饭的,都要恰饭的,,3,2,1,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1550680,1550680,Feudalia,Junjo,Abba Games,,7,7,0,0,"0 .. 20,000",0,0,0,0,1199,"11,99",1199,0,0
1551050,1551050,Unsung Knight,Cole,Cole,,20,15,5,0,"0 .. 20,000",0,0,0,0,299,"2,99",299,0,0
1552080,1552080,Deepest Chamber,Balcony Softworks,Those Awesome Guys,,120,85,35,0,"0 .. 20,000",923,0,923,0,1299,"12,99",1299,0,0
1552090,1552090,Cursed House 9 - Match 3 Puzzle,LGT SIA,LGT SIA,,6,5,1,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,1
1555400,1555400,Gomoku Let's Go,Studio Amateur,indienova,,457,416,41,0,"50,000 .. 100,000",14,0,14,0,299,"2,99",299,0,19
1555580,1555580,Invisible Services - Pixel Art Jigsaw Puzzle,Wise Box Studios,Wise Box Studios,,17,17,0,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1557740,1557740,ROUNDS,Landfall,Landfall,,10692,10211,481,0,"200,000 .. 500,000",315,120,367,120,599,"5,99",599,0,626
1558650,1558650,Alphadeck,ElvGames,ElvGames,,17,7,10,0,"0 .. 20,000",0,0,0,0,0,0,0,0,0
1565650,1565650,Pokitaire,Mad Data,HH-Games,,16,9,7,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1565830,1565830,Expert on Domestication,武汉渲美时光网络科技有限公司,武汉渲美时光网络科技有限公司,,6,2,4,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,0
1566810,1566810,Emerland Solitaire 2 Collector's Edition,Rainbow Games,Rainbow Games,,5,2,3,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,0
1571960,1571960,The Corpsmen,Multicell Games,Multicell Games,,34,22,12,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,1
1573070,1573070,Endless Furry Blackjack,Tegridy Made Games,Tegridy Made Games,,5,1,4,0,"50,000 .. 100,000",0,0,0,0,99,"0,99",99,0,0
1575910,1575910,Mega Solitaire Collection,Gamer Girl,Gamer Girl,,8,5,3,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1578760,1578760,Ember Knight Solitaire,The Revills Games,The Revills Games,,3,3,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1579020,1579020,Golfie,Triheart Studio,Yogscast Games,,78,67,11,0,"0 .. 20,000",0,0,0,0,1799,"17,99",1799,0,11
1580330,1580330,Cosmica,NeuroJump,NeuroJump,,3,2,1,0,"0 .. 20,000",0,0,0,0,699,"6,99",699,0,0
1580600,1580600,Hunted: Kobayashi Tower,Iron Wolf Games,Iron Wolf Games,,11,11,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1580770,1580770,"HIGH & LOW ~ Aim! 26 consecutive wins! Road to 5,000 trillion yen ~",ほんわかふわふわ,ほんわかふわふわ,,10,10,0,0,"0 .. 20,000",0,0,0,0,99,"0,99",99,0,0
1580800,1580800,Erannorth Chronicles,Spyridon Thalassinos,Spyridon Thalassinos,,147,133,14,0,"0 .. 20,000",0,0,0,0,1999,"19,99",1999,0,9
1583670,1583670,卡牌冒险者,Lurong Games,Lurong Games,,12,5,7,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1584350,1584350,Battle for Sea 3D,Hede,Hede,,14,4,10,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1584560,1584560,Idle Poker,Erepon Games,Erepon,,4,2,2,0,"0 .. 20,000",0,0,0,0,399,"3,99",399,0,1
1587530,1587530,Rescue Friends Solitaire,DigiMight,DigiMight,,2,2,0,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,0
1589880,1589880,Tower Of Wishes,Ironcode Gaming,Ironcode Gaming,,4,4,0,0,"0 .. 20,000",0,0,0,0,799,"7,99",799,0,2
1591440,1591440,中外名将对决,萌小圈游戏工作室,萌小圈游戏工作室,,2,1,1,0,"0 .. 20,000",0,0,0,0,799,"7,99",799,0,0
1592230,1592230,Cards of the Dead,Boomfire Games,JanduSoft,,47,37,10,0,"0 .. 20,000",0,0,0,0,799,"7,99",799,0,2
1595280,1595280,卡牌缔造者-CardMaker,HideChara,HideChara,,165,125,40,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,14
1596750,1596750,Buddy and Lucky Solitaire,Mens Sana Interactive,Mens Sana Interactive,,79,65,14,0,"0 .. 20,000",0,0,0,0,299,"2,99",299,0,2
1600170,1600170,Solitaire Legend of the Pirates 3,Somer Games,8floor,,1,1,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,1
1600180,1600180,Solitaire Game Halloween 2,Creobit,8floor,,3,2,1,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1600190,1600190,Solitaire Victorian Picnic 2,Somer Games,8floor,,2,2,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1600200,1600200,Solitaire Jack Frost Winter Adventures 2,Somer Games,8floor,,3,3,0,0,"0 .. 20,000",0,0,0,0,499,"4,99",499,0,0
1600280,1600280,Cute Animals Memory Card Game,Yume Game Studio,Yume Game Studio,,7,5,2,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
1601080,1601080,King of Heroes,Paper Fan Games,Paper Fan Games,,5,4,1,0,"0 .. 20,000",0,0,0,0,999,"9,99",999,0,0
1603270,1603270,Monster Battle Quest,Boogygames Studios,Boogygames Studios,,6,5,1,0,"0 .. 20,000",0,0,0,0,199,"1,99",199,0,0
