_key,appid,name,developer,publisher,score_rank,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,divisão,initialprice,discount,ccu,,
274700,274700,868-HACK,Michael Brough,Michael Brough,,94,85,9,0,"0 .. 20,000",0,0,0,0,565,"5,65",565,0,2,,
275200,275200,Westerado: Double Barreled,Ostrich Banditos,Adult Swim Games,,1729,1582,147,0,"200,000 .. 500,000",64,0,80,0,1499,"14,99",1499,0,6,,
276730,276730,Tango Fiesta – 80’s Action Film meets 2D Top Down Multiplayer Co-Op Roguelike Military Shooter,Spilt Milk Studios Ltd,Spilt Milk Studios Ltd,,72,41,31,0,"20,000 .. 50,000",189,0,189,0,999,"9,99",999,0,0,,
276890,276890,FATE: Undiscovered Realms,WildTangent,WildTangent,,311,241,70,0,"20,000 .. 50,000",581,0,1091,0,799,"7,99",799,0,5,,
277870,277870,Diehard Dungeon,Tricktale,Tricktale,,469,351,118,0,"50,000 .. 100,000",420,0,767,0,199,"1,99",199,0,0,,
278620,278620,TinyKeep,Phigames,Digital Tribe,,408,272,136,0,"50,000 .. 100,000",223,0,223,0,999,"9,99",999,0,0,,
278890,278890,Angvik,Alastair John Jack,Alastair John Jack,,2354,2067,287,0,"100,000 .. 200,000",180,0,211,0,299,"2,99",299,0,6,,
279070,279070,9th Dawn II,Valorware,Valorware,,153,129,24,0,"0 .. 20,000",0,0,0,0,599,"5,99",599,0,0,,
280040,280040,A Wizard's Lizard,Lost Decade Games,Lost Decade Games,,438,305,133,0,"50,000 .. 100,000",179,0,222,0,999,"9,99",999,0,1,,
280890,280890,Ghostship Aftermath,MAG Studios,MAG Studios,,102,41,61,0,"0 .. 20,000",196,0,196,0,999,"9,99",999,0,0,,
282070,282070,This War of Mine,11 bit studios,11 bit studios,,86784,80592,6192,0,"2,000,000 .. 5,000,000",888,76,300,95,399,"19,99",1999,80,2393,,
282800,282800,100% Orange Juice,Orange_Juice,Fruitbat Factory,,22671,21092,1579,0,"500,000 .. 1,000,000",2529,90,171,90,699,"6,99",699,0,406,,
283040,283040,Paper Dungeons,"Stephane Valverde, Leslie Valverde",Agent Mega,,84,44,40,0,"0 .. 20,000",260,0,275,0,999,"9,99",999,0,0,,
283290,283290,Nosferatu: The Wrath of Malachi,Idol FX,Funbox Media Ltd,,2648,2303,345,0,"200,000 .. 500,000",161,0,129,0,299,"2,99",299,0,3,,
